Year,District,Crime Category,Number of Cases,"Crime Rate per 100,000",Crime Severity,Crime Time,Crime Location,Weather Condition,Unemployment Rate (%),Poverty Level (%),Festival/Event,Population Density (per km²),Literacy Rate (%),Crime Hotspot,Repeat Offenses
2019,Erode,Fraud,310,11.48,Low,Evening,Highway,Foggy,6.2,21.5,Pongal,3901,76.94,No,1
2019,Vellore,Burglary,836,26.12,High,Evening,Residential Area,Cloudy,10.79,24.51,No Event,7847,80.07,No,1
2021,Dharmapuri,Drug Offenses,595,6.4,Medium,Night,Commercial Area,Foggy,5.94,16.86,Christmas,13195,86.49,No,1
2019,Nagapattinam,Kidnapping,762,8.37,Medium,Morning,Rural Area,Stormy,9.13,28.85,No Event,13485,84.22,No,1
2019,Dindigul,Domestic Violence,436,9.28,Medium,Morning,Commercial Area,Stormy,8.48,14.77,Independence Day,3851,83.11,No,1
2020,Kanyakumari,Fraud,879,51.71,High,Morning,Urban Area,Cloudy,7.34,31.95,Temple Festival,12797,72,No,1
2019,Theni,Burglary,319,9.97,Low,Evening,Rural Area,Cloudy,10.83,17.67,Christmas,635,79.37,No,1
2021,Tirunelveli,Murder,1195,20.96,High,Evening,Industrial Zone,Stormy,5.47,21.17,Christmas,2355,67.63,No,1
2021,Dharmapuri,Assault,761,16.19,Medium,Afternoon,Residential Area,Rainy,3.71,29.71,Diwali,8111,71.52,No,1
2021,Sivagangai,Burglary,662,20.69,Medium,Night,Residential Area,Rainy,6.58,14.52,Independence Day,1075,85.83,No,1
2020,Chennai,Fraud,247,3.48,Low,Evening,Urban Area,Sunny,9.95,12.68,No Event,9423,70.63,No,1
2021,Nagapattinam,Domestic Violence,208,5.33,Low,Morning,Industrial Zone,Foggy,3.58,28.84,Independence Day,4730,69.57,No,1
2021,Namakkal,Kidnapping,121,2.75,Low,Night,Rural Area,Sunny,10.09,27.5,No Event,8167,84.15,No,1
2021,Dindigul,Burglary,976,25.03,High,Night,Urban Area,Rainy,4.55,13.12,Independence Day,10420,66.86,Yes,3
2019,Ramanathapuram,Kidnapping,584,16.69,Medium,Night,Residential Area,Rainy,6.05,12.66,Independence Day,3930,72.4,No,1
2021,Theni,Kidnapping,836,29.86,High,Night,Urban Area,Foggy,11.7,32.7,Independence Day,1610,77.7,Yes,3
2020,Vellore,Kidnapping,385,3.89,Low,Morning,Urban Area,Cloudy,9.05,19.73,Temple Festival,1326,90.43,No,1
2021,Tiruvannamalai,Theft,109,3.3,Low,Morning,Commercial Area,Stormy,5.41,13.58,Independence Day,4093,77.1,No,1
2021,Karur,Robbery,383,9.82,Low,Afternoon,Highway,Sunny,6.2,25.14,Temple Festival,10221,80.6,No,1
2020,Dharmapuri,Theft,256,4.13,Low,Evening,Urban Area,Cloudy,11.5,24.79,Diwali,4637,68.37,No,1
2020,Krishnagiri,Theft,329,4.98,Low,Afternoon,Rural Area,Foggy,9.32,18.58,Diwali,12012,73.25,No,1
2020,Vellore,Robbery,1026,48.86,High,Morning,Commercial Area,Sunny,4.87,19.44,Christmas,3831,90.59,No,1
2019,Thoothukudi,Domestic Violence,603,28.71,Medium,Morning,Rural Area,Rainy,11.2,29.54,Diwali,4869,92,No,1
2021,Nagapattinam,Robbery,322,10.73,Low,Afternoon,Rural Area,Sunny,5.08,13.37,No Event,7713,88.85,No,1
2021,Perambalur,Robbery,723,17.21,Medium,Afternoon,Rural Area,Foggy,11.67,20.65,Christmas,5221,70.19,No,1
2021,Coimbatore,Assault,759,14.88,Medium,Morning,Commercial Area,Foggy,4.13,10.69,Christmas,9547,65.66,No,1
2021,Thoothukudi,Fraud,79,3.76,Low,Evening,Residential Area,Foggy,4.36,28.39,Diwali,11964,68.8,No,1
2020,Thanjavur,Assault,462,13.59,Medium,Afternoon,Industrial Zone,Stormy,7.21,11.79,Temple Festival,5279,75.09,No,1
2021,Erode,Cyber Crime,1200,25.53,High,Morning,Urban Area,Stormy,5,26.75,Pongal,8817,65.38,No,1
2019,Karur,Burglary,764,10.47,Medium,Night,Residential Area,Sunny,5.14,10.03,Diwali,11145,73.26,No,1
2020,Thanjavur,Robbery,787,10.09,Medium,Afternoon,Industrial Zone,Rainy,3.3,14.74,Temple Festival,5374,71.11,No,1
2019,Ramanathapuram,Fraud,354,27.23,Low,Evening,Highway,Rainy,5.54,11.83,Christmas,12085,88.09,No,1
2021,Erode,Drug Offenses,339,16.95,Low,Morning,Residential Area,Stormy,6.37,22.71,No Event,14014,70.19,No,1
2021,Tiruchirappalli,Domestic Violence,879,21.98,High,Morning,Rural Area,Stormy,6.86,22.58,No Event,5594,73.42,No,1
2019,Theni,Domestic Violence,574,33.76,Medium,Night,Urban Area,Rainy,6.78,28.41,Christmas,8601,90.15,No,1
2021,Sivagangai,Assault,831,12.59,High,Night,Rural Area,Sunny,7.76,22.58,Pongal,8565,84.06,No,1
2020,Ramanathapuram,Domestic Violence,1079,22.02,High,Night,Industrial Zone,Sunny,4.55,11.37,Diwali,2957,68.5,No,1
2021,Salem,Assault,296,3.84,Low,Night,Urban Area,Rainy,11.9,25.3,Christmas,9983,65.22,No,1
2021,Cuddalore,Theft,612,12.24,Medium,Morning,Residential Area,Stormy,6.42,20.39,Temple Festival,8923,80.77,No,1
2019,Perambalur,Theft,759,11.86,Medium,Afternoon,Commercial Area,Rainy,9.52,30.56,No Event,6777,75.02,No,1
2019,Nagapattinam,Burglary,610,11.09,Medium,Evening,Highway,Sunny,11.18,30.85,Pongal,13855,65.41,No,1
2019,Thoothukudi,Burglary,283,3.14,Low,Afternoon,Residential Area,Foggy,6.97,13.63,Pongal,5255,89.83,No,1
2020,Tiruvannamalai,Robbery,289,6.88,Low,Morning,Commercial Area,Rainy,9.18,29.64,Independence Day,6924,76.43,No,1
2019,Thoothukudi,Burglary,398,4.85,Low,Morning,Industrial Zone,Stormy,4.45,22.99,Pongal,8600,91.02,No,1
2021,Tiruchirappalli,Cyber Crime,893,8.93,High,Afternoon,Urban Area,Rainy,9.75,19.73,Christmas,2944,78.86,No,1
2021,Ramanathapuram,Murder,270,3.38,Low,Afternoon,Commercial Area,Stormy,4.94,32.71,Temple Festival,13466,86.48,No,1
2021,Tiruvannamalai,Drug Offenses,797,8.86,Medium,Afternoon,Commercial Area,Cloudy,11.99,26.79,Diwali,3763,77.4,No,1
2020,Tirunelveli,Theft,453,13.73,Medium,Evening,Commercial Area,Sunny,8.68,30.37,Temple Festival,14562,81.87,No,1
2020,Namakkal,Robbery,237,4.02,Low,Morning,Rural Area,Stormy,5.86,21.29,Diwali,6690,71.76,No,1
2020,Tiruvarur,Fraud,100,2.44,Low,Morning,Commercial Area,Foggy,10.14,26.1,Independence Day,10729,70.89,No,1
2020,Nilgiris,Murder,886,11.07,High,Night,Highway,Sunny,10.65,25.24,No Event,2878,82.65,No,1
2019,Karur,Assault,1139,54.24,High,Afternoon,Highway,Foggy,5.63,15.02,Temple Festival,8172,89.6,No,1
2020,Nilgiris,Cyber Crime,884,27.62,High,Evening,Highway,Rainy,11.09,31.5,Pongal,11246,80.01,No,1
2019,Krishnagiri,Domestic Violence,1102,23.45,High,Night,Highway,Rainy,5.69,29.73,Temple Festival,4196,84.47,No,1
2019,Madurai,Assault,146,1.52,Low,Afternoon,Industrial Zone,Cloudy,11.16,23.71,Temple Festival,8950,85.56,No,1
2019,Tirunelveli,Murder,721,40.06,Medium,Morning,Urban Area,Sunny,7.3,32.63,Pongal,14938,74.58,No,1
2021,Coimbatore,Robbery,1057,55.63,High,Afternoon,Commercial Area,Stormy,6.67,34.2,Diwali,7924,73.95,No,1
2021,Chennai,Cyber Crime,127,3.43,Low,Night,Industrial Zone,Rainy,5.74,20.42,Independence Day,11677,87.3,No,1
2020,Dharmapuri,Assault,916,15.02,High,Night,Rural Area,Stormy,3.62,14.1,Diwali,11885,71.4,No,1
2021,Ariyalur,Theft,236,8.43,Low,Morning,Industrial Zone,Sunny,3.29,33.82,Independence Day,2473,89.94,No,1
2020,Tiruvannamalai,Domestic Violence,896,13.18,High,Morning,Highway,Stormy,6.91,17.74,No Event,14186,90.96,No,1
2019,Tiruvarur,Assault,341,28.42,Low,Night,Rural Area,Foggy,8.69,16.12,Diwali,11564,88.32,No,1
2019,Virudhunagar,Murder,732,11.81,Medium,Evening,Commercial Area,Foggy,7.38,28.61,Christmas,11310,74.67,No,1
2021,Villupuram,Drug Offenses,965,48.25,High,Afternoon,Highway,Foggy,5.06,31.06,Independence Day,13307,68.38,No,1
2019,Thoothukudi,Theft,498,5.08,Medium,Morning,Residential Area,Stormy,7.42,27.9,Pongal,2112,86.51,No,1
2020,Sivagangai,Murder,612,6.73,Medium,Evening,Highway,Foggy,6.9,31.35,Independence Day,10673,67.18,No,1
2021,Namakkal,Domestic Violence,276,5.75,Low,Evening,Industrial Zone,Rainy,11.28,10.5,Pongal,2477,88.77,No,1
2021,Tiruvannamalai,Drug Offenses,851,44.79,High,Evening,Highway,Cloudy,6.49,35,No Event,14418,91.47,No,1
2020,Madurai,Assault,66,1.74,Low,Afternoon,Residential Area,Stormy,5.8,12.12,Temple Festival,8375,90.34,No,1
2020,Pudukkottai,Domestic Violence,926,19.7,High,Afternoon,Rural Area,Sunny,8.41,26.09,Diwali,12253,90.14,No,1
2020,Madurai,Drug Offenses,600,9.23,Medium,Morning,Rural Area,Sunny,4.41,13.34,Diwali,7933,66.05,No,1
2021,Salem,Assault,521,6.86,Medium,Morning,Commercial Area,Cloudy,5.34,20.67,No Event,8679,85.79,No,1
2019,Vellore,Theft,636,27.65,Medium,Night,Industrial Zone,Stormy,11.81,28.64,No Event,4488,81.32,No,1
2021,Thoothukudi,Assault,519,10.59,Medium,Evening,Commercial Area,Foggy,4.61,13.64,Independence Day,13839,91.21,No,1
2020,Nagapattinam,Domestic Violence,867,86.7,High,Night,Rural Area,Sunny,9.35,28.95,Christmas,8106,74.7,No,1
2020,Nagapattinam,Fraud,612,10.03,Medium,Night,Urban Area,Foggy,9.79,23.02,No Event,14374,74.87,No,1
2019,Thanjavur,Fraud,544,9.71,Medium,Night,Commercial Area,Cloudy,10.11,11.55,Independence Day,5725,65.14,No,1
2019,Nagapattinam,Fraud,832,10.81,High,Evening,Residential Area,Stormy,11.36,19.26,Temple Festival,2208,94.54,No,1
2021,Madurai,Domestic Violence,174,1.74,Low,Morning,Highway,Sunny,7.3,31.13,Temple Festival,13514,77.57,No,1
2020,Theni,Drug Offenses,1086,20.49,High,Night,Industrial Zone,Rainy,4.86,34.64,Christmas,2816,81.54,No,1
2020,Tiruvarur,Drug Offenses,76,1.36,Low,Morning,Commercial Area,Rainy,4.36,13.3,Independence Day,13073,94.2,No,1
2019,Sivagangai,Robbery,144,3.69,Low,Evening,Rural Area,Sunny,6.39,24.92,Temple Festival,1724,75.9,No,1
2019,Nagapattinam,Murder,850,32.69,High,Evening,Urban Area,Rainy,8.44,26.5,Independence Day,12410,74.7,Yes,2
2020,Perambalur,Domestic Violence,1007,43.78,High,Afternoon,Rural Area,Foggy,6.96,10.08,Temple Festival,5365,72.58,No,1
2020,Nagapattinam,Kidnapping,1066,19.04,High,Night,Highway,Cloudy,8.2,18.82,Pongal,10460,87.78,No,1
2021,Pudukkottai,Domestic Violence,847,11.93,High,Morning,Industrial Zone,Foggy,7.46,18.91,No Event,6168,67.68,No,1
2020,Pudukkottai,Burglary,1042,11.58,High,Morning,Rural Area,Cloudy,5.56,10.5,Christmas,8074,92.95,No,1
2021,Kanyakumari,Kidnapping,60,1.36,Low,Night,Commercial Area,Foggy,7.17,10.64,Temple Festival,9314,65.33,No,1
2021,Dharmapuri,Cyber Crime,446,11.15,Medium,Night,Residential Area,Cloudy,11.48,17.85,Temple Festival,13922,72.61,No,1
2019,Tiruchirappalli,Murder,923,10.86,High,Afternoon,Industrial Zone,Sunny,8.62,23.78,Pongal,5200,66.28,No,1
2021,Sivagangai,Robbery,574,7.76,Medium,Afternoon,Industrial Zone,Cloudy,7.67,20.64,Temple Festival,3880,80.45,No,1
2019,Theni,Robbery,706,10.23,Medium,Afternoon,Highway,Cloudy,10.69,24,Temple Festival,964,84.35,No,1
2021,Cuddalore,Fraud,444,7.16,Medium,Night,Residential Area,Cloudy,11.53,16.29,Christmas,10197,81.4,No,1
2019,Virudhunagar,Fraud,875,25,High,Afternoon,Urban Area,Stormy,4.1,14.34,Temple Festival,14983,69.49,No,1
2020,Madurai,Robbery,808,12.83,High,Morning,Commercial Area,Rainy,9.27,33.26,Pongal,3424,72.29,No,1
2021,Salem,Fraud,1113,21.4,High,Afternoon,Rural Area,Sunny,7.98,26.7,No Event,4703,69.68,No,1
2020,Vellore,Assault,1043,10.98,High,Evening,Industrial Zone,Cloudy,6.14,30.35,Diwali,3441,82.26,No,1
2020,Pudukkottai,Cyber Crime,987,29.03,High,Morning,Urban Area,Rainy,5.73,31.67,Independence Day,6467,82.99,No,1
2020,Ariyalur,Drug Offenses,979,30.59,High,Evening,Urban Area,Stormy,9.46,30.11,No Event,1569,76.82,Yes,3
2021,Tiruvannamalai,Burglary,592,11.38,Medium,Afternoon,Residential Area,Foggy,9.01,28.13,No Event,9753,76.07,No,1
2019,Tirunelveli,Kidnapping,265,11.04,Low,Afternoon,Commercial Area,Rainy,10.97,19.8,No Event,3977,78.62,No,1
2020,Coimbatore,Burglary,262,4.44,Low,Afternoon,Industrial Zone,Cloudy,10.24,24.37,Temple Festival,3140,65.23,No,1
2019,Ariyalur,Murder,476,12.86,Medium,Afternoon,Residential Area,Rainy,9.38,19.27,Independence Day,2307,86.63,No,1
2019,Tiruchirappalli,Cyber Crime,856,29.52,High,Night,Commercial Area,Stormy,9.2,21.33,No Event,11717,91.05,Yes,4
2019,Ariyalur,Kidnapping,407,4.79,Medium,Evening,Urban Area,Foggy,10.11,14.36,Temple Festival,2333,76.69,No,1
2019,Tiruvarur,Robbery,512,11.13,Medium,Evening,Residential Area,Sunny,7.26,14.77,Diwali,5485,67.72,No,1
2020,Tirunelveli,Robbery,274,3.86,Low,Morning,Industrial Zone,Sunny,4.37,22.13,Pongal,1585,69.86,No,1
2020,Tiruvarur,Domestic Violence,831,23.08,High,Evening,Highway,Foggy,4.58,20.3,No Event,9492,70.63,No,1
2019,Dharmapuri,Murder,509,8.21,Medium,Morning,Residential Area,Cloudy,6.91,27.78,Temple Festival,11657,68.92,No,1
2019,Thoothukudi,Fraud,379,6.11,Low,Night,Commercial Area,Rainy,6.22,19.14,Christmas,1994,79.04,No,1
2021,Ariyalur,Fraud,366,7.96,Low,Afternoon,Rural Area,Cloudy,10.71,21.07,Independence Day,2109,77.33,No,1
2021,Ramanathapuram,Cyber Crime,797,34.65,Medium,Night,Commercial Area,Rainy,11.22,25.55,Temple Festival,10348,69.62,No,1
2021,Namakkal,Robbery,477,7.12,Medium,Evening,Rural Area,Foggy,9.94,21.56,Temple Festival,9940,81.9,No,1
2020,Sivagangai,Burglary,1085,16.95,High,Night,Highway,Cloudy,3.44,20.58,Diwali,692,87.69,No,1
2021,Virudhunagar,Assault,355,4.18,Low,Afternoon,Urban Area,Stormy,9.51,32.64,No Event,14062,90.12,No,1
2019,Ramanathapuram,Murder,939,10.79,High,Night,Residential Area,Cloudy,11.68,11.86,Temple Festival,6388,84.31,No,1
2021,Virudhunagar,Fraud,1168,28.49,High,Evening,Commercial Area,Rainy,3.56,30.12,Diwali,7060,86.83,Yes,1
2021,Ramanathapuram,Drug Offenses,639,53.25,Medium,Night,Rural Area,Rainy,3.58,19.75,Pongal,11257,90.61,No,1
2020,Tiruchirappalli,Assault,1032,21.06,High,Afternoon,Rural Area,Stormy,3.49,27.29,Pongal,12194,79.48,No,1
2021,Virudhunagar,Kidnapping,1124,17.84,High,Evening,Highway,Foggy,5.99,30.96,Temple Festival,1698,66.04,No,1
2020,Chennai,Fraud,164,3.57,Low,Morning,Commercial Area,Sunny,11.55,25,Independence Day,12380,79.21,No,1
2020,Erode,Murder,546,12.41,Medium,Night,Rural Area,Foggy,3.21,29.07,Temple Festival,12932,94.33,No,1
2019,Krishnagiri,Burglary,220,13.75,Low,Afternoon,Rural Area,Sunny,7.76,25.29,Temple Festival,6326,81.41,No,1
2019,Erode,Domestic Violence,773,8.78,Medium,Afternoon,Highway,Sunny,6.83,15.31,Temple Festival,3939,93.29,No,1
2020,Dharmapuri,Domestic Violence,335,3.68,Low,Morning,Residential Area,Stormy,4.14,14.62,Pongal,6055,72.23,No,1
2020,Nagapattinam,Assault,447,11.76,Medium,Evening,Urban Area,Sunny,7.25,25.41,Temple Festival,1360,67.26,No,1
2019,Thoothukudi,Robbery,1158,16.31,High,Night,Commercial Area,Sunny,11.75,21.01,Christmas,12545,74.53,Yes,2
2021,Ariyalur,Cyber Crime,1004,18.25,High,Night,Commercial Area,Stormy,3.1,30.05,Diwali,5837,94.43,Yes,4
2021,Tirunelveli,Burglary,1101,11.59,High,Evening,Commercial Area,Stormy,10.89,31.54,No Event,3959,80.22,Yes,4
2019,Coimbatore,Drug Offenses,766,19.64,Medium,Afternoon,Urban Area,Cloudy,3.98,18.3,Independence Day,4126,65.14,No,1
2021,Thoothukudi,Fraud,350,29.17,Low,Afternoon,Commercial Area,Stormy,11.98,23.93,Pongal,1689,90.9,No,1
2020,Erode,Domestic Violence,402,4.37,Medium,Afternoon,Urban Area,Stormy,9.6,21.06,Diwali,4552,66.44,No,1
2020,Theni,Murder,1067,18.08,High,Afternoon,Highway,Cloudy,7.75,26.59,No Event,8683,94.24,No,1
2020,Ramanathapuram,Assault,156,2.11,Low,Evening,Commercial Area,Rainy,4.82,34.37,Pongal,14797,72.17,No,1
2020,Ariyalur,Cyber Crime,1186,15.4,High,Afternoon,Industrial Zone,Foggy,10.62,16.02,No Event,8939,72.39,No,1
2020,Kanyakumari,Assault,709,12.66,Medium,Morning,Highway,Stormy,3.74,12.97,Pongal,4948,68.32,No,1
2020,Erode,Kidnapping,184,2.33,Low,Morning,Industrial Zone,Cloudy,6.17,11.36,Christmas,6136,69.27,No,1
2021,Chennai,Robbery,516,23.45,Medium,Night,Urban Area,Cloudy,11.46,26.92,Temple Festival,7069,77.49,No,1
2021,Coimbatore,Cyber Crime,1006,29.59,High,Morning,Rural Area,Stormy,5.49,33.59,No Event,4031,75.93,No,1
2019,Kanyakumari,Burglary,371,4.58,Low,Evening,Rural Area,Foggy,5.42,11.97,Diwali,7854,76.67,No,1
2019,Tiruvannamalai,Cyber Crime,1136,12.62,High,Evening,Commercial Area,Sunny,7.84,24.35,Temple Festival,1960,94.28,Yes,4
2020,Virudhunagar,Cyber Crime,283,3.58,Low,Afternoon,Rural Area,Foggy,8.26,18.71,Temple Festival,13303,71.25,No,1
2021,Thoothukudi,Cyber Crime,454,6.78,Medium,Afternoon,Industrial Zone,Rainy,7.51,15.18,No Event,4067,91.4,No,1
2019,Ramanathapuram,Theft,1065,23.67,High,Night,Commercial Area,Foggy,8.98,21.73,Independence Day,4575,91.46,Yes,1
2021,Ariyalur,Domestic Violence,677,10.42,Medium,Evening,Rural Area,Rainy,9.48,18.53,No Event,9892,86.94,No,1
2021,Villupuram,Robbery,555,10.28,Medium,Evening,Industrial Zone,Sunny,6.15,16.47,No Event,9115,65.23,No,1
2020,Nilgiris,Theft,924,13.01,High,Night,Rural Area,Cloudy,10.27,11.15,Diwali,1392,80,No,1
2019,Salem,Kidnapping,1148,12.9,High,Morning,Residential Area,Rainy,4.61,10.05,No Event,9296,75.15,No,1
2021,Nilgiris,Robbery,147,1.88,Low,Morning,Highway,Sunny,11.4,21.85,Temple Festival,3610,70.23,No,1
2020,Nilgiris,Robbery,849,9.87,High,Evening,Urban Area,Stormy,6.59,10.47,Diwali,822,66.29,Yes,2
2019,Thanjavur,Theft,1169,18.56,High,Afternoon,Commercial Area,Sunny,9.65,34.18,No Event,8048,82.82,No,1
2021,Perambalur,Kidnapping,820,11.08,High,Afternoon,Highway,Stormy,4.78,28.54,Temple Festival,8498,93.59,No,1
2020,Cuddalore,Cyber Crime,1135,17.2,High,Afternoon,Urban Area,Sunny,11.77,19.81,No Event,8430,73.97,No,1
2019,Ramanathapuram,Domestic Violence,868,20.67,High,Night,Commercial Area,Foggy,9.82,32.1,Christmas,3724,68.68,Yes,3
2019,Nilgiris,Kidnapping,107,7.13,Low,Morning,Highway,Foggy,4.84,11.17,Pongal,2960,90.1,No,1
2021,Villupuram,Burglary,564,18.8,Medium,Afternoon,Industrial Zone,Sunny,5.08,27.6,Temple Festival,14999,73.07,No,1
2019,Nagapattinam,Domestic Violence,971,11.16,High,Afternoon,Commercial Area,Rainy,4.53,24.13,Pongal,5372,85.14,No,1
2019,Ariyalur,Drug Offenses,322,6.57,Low,Afternoon,Residential Area,Stormy,6.39,23.86,Diwali,1424,94.7,No,1
2019,Erode,Domestic Violence,447,4.52,Medium,Night,Residential Area,Stormy,5.35,20.35,Temple Festival,1690,83.91,No,1
2021,Thanjavur,Assault,878,11.55,High,Morning,Rural Area,Foggy,6.02,31.63,Temple Festival,13666,65.61,No,1
2020,Pudukkottai,Robbery,71,2.84,Low,Night,Commercial Area,Stormy,10.36,27.94,No Event,7197,91.18,No,1
2020,Tirunelveli,Fraud,242,2.52,Low,Morning,Urban Area,Rainy,9.84,12.51,Temple Festival,8704,70.12,No,1
2021,Tiruchirappalli,Robbery,1048,37.43,High,Night,Rural Area,Cloudy,6.53,20.38,Pongal,3032,75.34,No,1
2019,Chennai,Burglary,559,7.55,Medium,Morning,Highway,Stormy,10.52,32.6,Temple Festival,5994,72.43,No,1
2019,Vellore,Domestic Violence,935,18.33,High,Afternoon,Highway,Rainy,7.07,21.98,Independence Day,11846,90.12,No,1
2020,Kanyakumari,Robbery,130,3.17,Low,Afternoon,Commercial Area,Cloudy,8.55,28.16,Pongal,14961,88.49,No,1
2019,Sivagangai,Drug Offenses,372,5.31,Low,Evening,Urban Area,Cloudy,7.86,16.52,Diwali,5275,84.48,No,1
2020,Tiruvannamalai,Drug Offenses,188,2.85,Low,Night,Urban Area,Rainy,5.86,28.24,No Event,5134,70.88,No,1
2019,Villupuram,Cyber Crime,164,4.1,Low,Morning,Commercial Area,Rainy,9.76,11.87,Diwali,11541,72.57,No,1
2020,Thanjavur,Kidnapping,985,14.92,High,Night,Highway,Sunny,5.93,11.24,Independence Day,7124,70.7,No,1
2020,Dindigul,Robbery,980,31.61,High,Night,Rural Area,Foggy,10.47,24.68,Temple Festival,13983,65.89,No,1
2020,Dindigul,Domestic Violence,388,7.61,Low,Morning,Residential Area,Rainy,9.24,31.69,Pongal,9223,80.26,No,1
2020,Dharmapuri,Fraud,154,7,Low,Morning,Rural Area,Rainy,5.52,33.34,No Event,4725,72.62,No,1
2020,Sivagangai,Domestic Violence,157,2.45,Low,Morning,Highway,Rainy,5.09,30.56,Pongal,7007,79.01,No,1
2019,Villupuram,Theft,957,9.87,High,Morning,Rural Area,Foggy,11.99,15.67,No Event,5808,92.55,No,1
2021,Ariyalur,Cyber Crime,1145,11.93,High,Afternoon,Commercial Area,Rainy,3.39,21.87,No Event,4880,76.52,No,1
2019,Virudhunagar,Assault,1003,23.33,High,Afternoon,Urban Area,Sunny,3.22,32.9,Pongal,4206,80.38,No,1
2020,Madurai,Assault,342,10.36,Low,Night,Residential Area,Sunny,4.85,11.7,Independence Day,12104,94.96,No,1
2020,Namakkal,Drug Offenses,932,10.13,High,Evening,Rural Area,Sunny,7.7,26.83,Pongal,12847,69.29,No,1
2020,Madurai,Theft,1155,17.77,High,Afternoon,Rural Area,Sunny,4.05,33.83,Independence Day,843,93.9,No,1
2021,Thoothukudi,Theft,195,2.22,Low,Afternoon,Rural Area,Sunny,10.78,20.63,No Event,13306,89.9,No,1
2020,Karur,Cyber Crime,379,19.95,Low,Night,Industrial Zone,Stormy,9.01,19.23,Pongal,8765,87.05,No,1
2019,Thanjavur,Burglary,1139,18.08,High,Night,Rural Area,Foggy,7.44,33.87,Temple Festival,8168,93.75,No,1
2021,Karur,Theft,1188,13.98,High,Afternoon,Residential Area,Stormy,3.02,29.22,Christmas,2110,89.17,No,1
2021,Tiruchirappalli,Fraud,280,3.04,Low,Morning,Commercial Area,Sunny,5.07,14.77,Temple Festival,8774,88.3,No,1
2020,Thoothukudi,Burglary,1143,25.4,High,Evening,Residential Area,Foggy,11.24,28.31,No Event,7491,82.23,No,1
2020,Chennai,Robbery,977,10.07,High,Afternoon,Industrial Zone,Cloudy,4.75,10.65,Christmas,11286,69.49,No,1
2019,Karur,Burglary,1048,11.03,High,Morning,Highway,Stormy,11.23,22.7,Pongal,13430,68,No,1
2021,Ramanathapuram,Assault,522,6.53,Medium,Morning,Commercial Area,Cloudy,5.71,10.96,No Event,2813,82.94,No,1
2019,Perambalur,Drug Offenses,124,1.43,Low,Night,Rural Area,Stormy,6.97,15.79,Independence Day,13251,73.06,No,1
2021,Tiruchirappalli,Domestic Violence,1011,45.95,High,Night,Rural Area,Foggy,11.53,30.08,No Event,7202,87.71,No,1
2021,Theni,Robbery,544,25.9,Medium,Afternoon,Urban Area,Foggy,7.31,34.95,Christmas,4943,71.17,No,1
2019,Madurai,Murder,90,1.96,Low,Morning,Commercial Area,Foggy,5.74,18.46,Diwali,13055,69.17,No,1
2020,Namakkal,Assault,212,2.36,Low,Evening,Residential Area,Cloudy,5.38,20.95,Independence Day,14556,76.04,No,1
2021,Pudukkottai,Burglary,1076,53.8,High,Night,Rural Area,Rainy,6.76,32.55,No Event,4927,75.98,No,1
2020,Vellore,Fraud,1065,10.87,High,Night,Commercial Area,Stormy,8.4,18.29,Diwali,1490,77.23,Yes,3
2021,Cuddalore,Theft,1103,58.05,High,Morning,Rural Area,Foggy,9.61,13.52,Christmas,4179,76.46,No,1
2019,Tirunelveli,Burglary,1038,21.18,High,Evening,Commercial Area,Foggy,3.79,17.5,Diwali,7139,75.42,Yes,2
2019,Ramanathapuram,Cyber Crime,1164,26.45,High,Afternoon,Urban Area,Rainy,11.04,28.01,Christmas,836,73.39,No,1
2020,Ariyalur,Kidnapping,623,18.32,Medium,Morning,Rural Area,Foggy,6.2,12.16,Pongal,9839,85.87,No,1
2019,Virudhunagar,Robbery,773,13.1,Medium,Afternoon,Highway,Cloudy,11.04,32.82,Temple Festival,5981,68.35,No,1
2021,Kanyakumari,Robbery,125,1.69,Low,Evening,Residential Area,Sunny,6.41,19.74,Temple Festival,12476,77.33,No,1
2020,Chennai,Burglary,546,9.75,Medium,Morning,Residential Area,Cloudy,7.65,21.68,Diwali,14550,72.8,No,1
2019,Salem,Theft,643,13.12,Medium,Evening,Industrial Zone,Stormy,11.28,13.03,Pongal,13020,65.43,No,1
2019,Dharmapuri,Domestic Violence,1149,23.45,High,Night,Commercial Area,Foggy,7.81,28.79,Christmas,12798,89.49,Yes,2
2020,Salem,Fraud,306,4.71,Low,Morning,Residential Area,Stormy,8.38,11.18,Independence Day,740,69.3,No,1
2019,Cuddalore,Theft,910,53.53,High,Evening,Industrial Zone,Rainy,11.53,15.32,Christmas,8621,72.55,No,1
2021,Theni,Drug Offenses,73,1.59,Low,Morning,Rural Area,Rainy,3.52,12.93,Pongal,9918,79.73,No,1
2021,Nilgiris,Kidnapping,573,5.73,Medium,Afternoon,Urban Area,Stormy,8.04,10.02,Pongal,1042,94.27,No,1
2020,Tiruchirappalli,Burglary,1123,51.05,High,Night,Highway,Foggy,5.82,14.16,Christmas,10544,73.58,No,1
2019,Tiruchirappalli,Fraud,1091,14.74,High,Afternoon,Residential Area,Rainy,5.34,20.86,Pongal,4272,82.09,No,1
2021,Tiruvannamalai,Burglary,709,10.43,Medium,Night,Urban Area,Stormy,8.22,30.77,Temple Festival,9465,72.27,No,1
2019,Kanyakumari,Assault,640,6.88,Medium,Evening,Urban Area,Sunny,3.66,34.94,No Event,14650,87.88,No,1
